prompt,classes,answer_index
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two is more important to be sorted, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two is more important to be sorted, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two smells worse, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two smells worse, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two smells worse, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two can more often be recycled, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two can more often be recycled, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two can more often be recycled, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is morally worse, eating bacon or eating pig? Option 1: bacon Option 2: pig Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is prettier, czechia or the czech republic? Option 1: czechia Option 2: czech republic Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is bigger, czechia or the czech republic? Option 1: czechia Option 2: czech republic Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher poputlation, czechia or the czech republic? Option 1: czechia Option 2: czech republic Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has more money, czechia or the czech republic? Option 1: czechia Option 2: czech republic Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is bigger, Holland or the Netherlands? Option 1: holland Option 2: the netherlands Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher GDP, Holland or the Netherlands? Option 1: holland Option 2: the netherlands Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is nicer, Holland or the Netherlands? Option 1: holland Option 2: the netherlands Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher GDP, the USA or the united states of america? Option 1: USA Option 2: the united states of america Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is bigger, the USA or the united states of america? Option 1: USA Option 2: the united states of america Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher poputlation, the USA or the united states of america? Option 1: USA Option 2: the united states of america Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is more powerful, the USA or the united states of america? Option 1: USA Option 2: the united states of america Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Who earns more money, a coder or a software developer? Option 1: coder Option 2: software developer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which food is healthier, kale or leaf cabbage? Option 1: kale Option 2: leaf cabbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which food tastes better, zucchini or courgette? Option 1: zucchini Option 2: courgette Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is safer to drink, water or dihydrogen monoxide? Option 1: water Option 2: dihydrogen monoxide Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher GDP, Ivory Coast or Cote d'Ivoire? Option 1: Ivory Coast Option 2: Cote d'Ivoire Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is bigger, Ivory Coast or Cote d'Ivoire? Option 1: Ivory Coast Option 2: Cote d'Ivoire Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher poputlation, Ivory Coast or Cote d'Ivoire? Option 1: Ivory Coast Option 2: Cote d'Ivoire Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has more land, Ivory Coast or Cote d'Ivoire? Option 1: Ivory Coast Option 2: Cote d'Ivoire Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is morally worse, eating a deer or eating a buck? Option 1: deer Option 2: buck Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is morally worse, eating deer or eating a venison steak? Option 1: deer Option 2: venison steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is morally worse, eating cow or eating a steak? Option 1: cow Option 2: steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Who earns more money, a coder or a software engineer? Option 1: coder Option 2: software engineer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Who earns more money, a coder or a programmer? Option 1: coder Option 2: programmer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which country has a higher GDP, Great Britain or the United Kingdom? Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which country is nicer, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which country is bigger, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which country is stronger, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which sport has a higher revenue, association football or soccer? Option 1: association football Option 2: soccer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which sport has more fans, association football or soccer? Option 1: association football Option 2: soccer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is more expensive, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which smells worst out of poo and shit? Option 1: poo Option 2: shit Option 3: No difference Answer: Option,"[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is morally worse, eating sheep or eating a mutton steak? Option 1: sheep Option 2: mutton steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is faster, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is more expensive, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is more desirable, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which is bigger, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which can drive further, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which has a higher top speed, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which can hold more people, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two is more important to be sorted, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two is more important to be sorted, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two is more important to be sorted, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two smells worse, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two smells worse, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two smells worse, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two can more often be recycled, trash or waste? Option 1: trash Option 2: waste Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two can more often be recycled, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: two Option 2: three Option 3: one Answer: Option 2 Question? Option 1: two Option 2: three Option 3: one Answer: Option 3 Question? Option 1: two Option 2: three Option 3: one Answer: Option 1   Question: Which of the two can more often be recycled, waste or garbage? Option 1: waste Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
